CustomerID,Age,AnnualIncome,SpendingScore,PurchaseHistory
1,47.0,63.0,19,12
2,31.0,73.0,67,7
3,,,1,17
4,33.0,66.0,71,15
5,22.0,127.0,61,11
6,57.0,49.0,61,11
7,60.0,27.0,72,6
8,69.0,51.0,18,5
9,35.0,57.0,39,4
10,24.0,85.0,70,9
11,62.0,80.0,90,17
12,64.0,143.0,27,17
13,69.0,31.0,88,7
14,43.0,117.0,29,3
15,,,10,2
16,40.0,54.0,96,15
17,,,85,11
18,44.0,40.0,56,5
19,55.0,28.0,72,4
20,120.0,141.0,58,15
21,44.0,137.0,87,13
22,34.0,85.0,51,11
23,53.0,50.0,11,16
24,63.0,64.0,76,11
25,27.0,105.0,55,4
26,56.0,111.0,92,17
27,27.0,63.0,18,7
28,40.0,72.0,15,8
29,42.0,127.0,91,19
30,40.0,124.0,1,12
31,62.0,24.0,36,9
32,20.0,104.0,86,2
33,67.0,104.0,5,9
34,56.0,102.0,47,19
35,68.0,33.0,13,13
36,26.0,73.0,79,7
37,20.0,46.0,72,19
38,,,63,13
39,50.0,34.0,43,7
40,39.0,115.0,67,14
41,57.0,43.0,45,9
42,40.0,104.0,80,1
43,58.0,135.0,74,16
44,19.0,96.0,53,11
45,40.0,103.0,67,1
46,29.0,67.0,86,4
47,39.0,119.0,47,1
48,38.0,20.0,26,10
49,40.0,20.0,70,8
50,20.0,117.0,96,3
51,48.0,128.0,96,3
52,52.0,30.0,26,4
53,57.0,39.0,93,18
54,38.0,149.0,65,7
55,19.0,129.0,83,18
56,56.0,51.0,11,3
57,34.0,63.0,11,18
58,65.0,87.0,67,14
59,43.0,99.0,50,2
60,54.0,137.0,24,15
61,,,26,7
62,59.0,32.0,65,19
63,64.0,95.0,52,15
64,42.0,148.0,28,7
65,23.0,136.0,83,7
66,65.0,146.0,100,15
67,29.0,111.0,8,18
68,51.0,83.0,36,1
69,50.0,88.0,53,9
70,52.0,102.0,92,18
71,,,24,3
72,69.0,47.0,74,15
73,,,34,9
74,41.0,36.0,83,19
75,23.0,112.0,56,10
76,29.0,37.0,94,13
77,63.0,24.0,79,14
78,36.0,126.0,92,1
79,35.0,34.0,37,6
80,39.0,110.0,35,2
81,60.0,60.0,48,13
82,29.0,67.0,83,4
83,51.0,64.0,57,3
84,61.0,130.0,46,16
85,25.0,118.0,35,7
86,40.0,70.0,95,7
87,,,44,12
88,65.0,20.0,60,17
89,65.0,142.0,62,4
90,64.0,142.0,2,1
91,43.0,48.0,23,1
92,55.0,88.0,34,13
93,52.0,46.0,46,18
94,27.0,59.0,91,18
95,50.0,31.0,3,7
96,69.0,135.0,48,7
97,35.0,113.0,9,19
98,20.0,123.0,91,8
99,31.0,111.0,74,16
100,,,32,17
101,19.0,65.0,3,8
102,30.0,114.0,19,10
103,43.0,52.0,1,2
104,53.0,84.0,89,9
105,29.0,66.0,73,15
106,69.0,64.0,35,6
107,46.0,140.0,88,3
108,36.0,134.0,5,4
109,33.0,52.0,56,10
110,59.0,55.0,68,7
111,60.0,21.0,91,19
112,69.0,67.0,36,13
113,33.0,121.0,94,17
114,27.0,26.0,28,15
115,53.0,56.0,12,9
116,58.0,30.0,37,4
117,47.0,40.0,30,13
118,68.0,33.0,88,5
119,,,77,18
120,44.0,111.0,70,8
121,62.0,65.0,38,6
122,23.0,135.0,43,13
123,40.0,101.0,18,14
124,49.0,90.0,12,12
125,60.0,143.0,2,2
126,22.0,109.0,69,17
127,30.0,119.0,23,19
128,41.0,114.0,63,2
129,29.0,29.0,8,17
130,59.0,23.0,42,7
131,35.0,29.0,61,7
132,,,21,6
133,22.0,69.0,99,7
134,67.0,31.0,65,6
135,22.0,78.0,48,18
136,,,82,1
137,63.0,64.0,18,16
138,24.0,51.0,28,12
139,,,91,16
140,65.0,37.0,3,3
141,25.0,40.0,81,15
142,57.0,129.0,79,5
143,39.0,114.0,43,18
144,,,90,19
145,65.0,39.0,82,4
146,44.0,108.0,38,4
147,48.0,51.0,66,7
148,32.0,149.0,18,6
149,,,89,2
150,29.0,136.0,96,16
151,69.0,95.0,10,16
152,,,25,15
153,26.0,133.0,82,14
154,45.0,120.0,98,8
155,,,66,13
156,24.0,54.0,35,9
157,31.0,90.0,21,11
158,47.0,117.0,34,19
159,44.0,62.0,19,14
160,37.0,111.0,70,16
161,63.0,145.0,50,5
162,33.0,139.0,18,18
163,30.0,60.0,71,1
164,22.0,36.0,16,14
165,24.0,102.0,43,15
166,57.0,31.0,50,13
167,27.0,63.0,3,2
168,42.0,43.0,15,4
169,46.0,23.0,79,11
170,32.0,139.0,72,8
171,,,58,16
172,25.0,59.0,40,10
173,41.0,41.0,75,9
174,27.0,25.0,16,4
175,48.0,56.0,34,5
176,60.0,126.0,10,13
177,,,55,5
178,61.0,40.0,96,1
179,48.0,70.0,58,16
180,,,34,5
181,47.0,60.0,31,14
182,23.0,55.0,45,15
183,19.0,99.0,5,8
184,22.0,143.0,99,6
185,20.0,98.0,77,13
186,19.0,58.0,1,16
187,33.0,38.0,40,14
188,25.0,28.0,12,12
189,52.0,35.0,45,15
190,38.0,95.0,42,12
191,,,69,10
192,29.0,146.0,33,7
193,,,86,16
194,,,13,19
195,65.0,101.0,14,14
196,41.0,78.0,10,16
197,35.0,65.0,26,11
198,57.0,23.0,84,6
199,52.0,134.0,9,5
200,32.0,112.0,18,14
201,,,19,10
202,34.0,20.0,89,7
203,,,80,18
204,22.0,42.0,22,15
205,,,77,2
206,65.0,95.0,73,11
207,58.0,147.0,15,14
208,31.0,89.0,7,12
209,33.0,53.0,6,10
210,,,22,7
211,56.0,77.0,51,6
212,67.0,67.0,18,14
213,28.0,120.0,98,7
214,33.0,67.0,81,18
215,53.0,71.0,20,3
216,35.0,60.0,87,8
217,22.0,39.0,60,9
218,35.0,97.0,20,3
219,57.0,143.0,32,2
220,46.0,25.0,62,10
221,54.0,87.0,28,11
222,,,55,19
223,48.0,65.0,59,14
224,44.0,80.0,96,6
225,33.0,128.0,60,8
226,32.0,102.0,45,19
227,61.0,29.0,96,6
228,24.0,149.0,36,11
229,28.0,114.0,87,5
230,29.0,119.0,1,12
231,31.0,147.0,10,17
232,20.0,84.0,74,12
233,28.0,38.0,90,11
234,32.0,129.0,9,10
235,28.0,89.0,92,1
236,41.0,137.0,12,14
237,62.0,124.0,34,8
238,62.0,35.0,56,2
239,36.0,128.0,51,12
240,24.0,61.0,13,10
241,32.0,58.0,84,10
242,37.0,21.0,15,6
243,,,66,19
244,31.0,86.0,62,8
245,59.0,86.0,90,15
246,32.0,123.0,42,14
247,49.0,115.0,97,14
248,,,6,5
249,58.0,47.0,34,8
250,53.0,138.0,25,14
251,46.0,47.0,10,9
252,44.0,46.0,52,5
253,67.0,71.0,33,12
254,31.0,110.0,58,13
255,53.0,120.0,86,3
256,53.0,142.0,43,18
257,35.0,92.0,64,13
258,52.0,101.0,96,8
259,69.0,95.0,23,1
260,18.0,93.0,48,1
261,19.0,87.0,59,14
262,62.0,131.0,14,5
263,65.0,38.0,36,13
264,53.0,53.0,79,14
265,36.0,64.0,81,9
266,19.0,91.0,14,14
267,49.0,32.0,63,18
268,39.0,35.0,62,1
269,42.0,93.0,26,7
270,19.0,90.0,54,2
271,58.0,113.0,31,7
272,36.0,36.0,58,17
273,36.0,55.0,42,12
274,53.0,79.0,20,18
275,34.0,33.0,7,16
276,26.0,112.0,39,1
277,68.0,125.0,2,19
278,35.0,58.0,83,2
279,18.0,114.0,8,7
280,65.0,48.0,22,2
281,51.0,147.0,94,13
282,62.0,122.0,50,11
283,34.0,52.0,24,9
284,40.0,101.0,96,6
285,28.0,111.0,9,5
286,,,60,19
287,57.0,41.0,1,17
288,62.0,107.0,90,17
289,62.0,119.0,70,12
290,41.0,87.0,97,18
291,55.0,34.0,6,1
292,52.0,105.0,56,3
293,69.0,132.0,92,4
294,30.0,57.0,55,7
295,43.0,63.0,91,13
296,53.0,62.0,91,6
297,53.0,94.0,96,17
298,57.0,141.0,22,18
299,56.0,74.0,51,13
300,66.0,97.0,73,8
301,36.0,24.0,61,2
302,69.0,137.0,57,19
303,40.0,79.0,29,8
304,38.0,135.0,31,16
305,41.0,33.0,40,8
306,57.0,61.0,49,5
307,29.0,75.0,81,2
308,,,62,17
309,44.0,59.0,80,10
310,33.0,80.0,3,1
311,54.0,120.0,71,7
312,34.0,50.0,32,4
313,37.0,53.0,75,10
314,35.0,59.0,28,2
315,66.0,116.0,30,11
316,48.0,147.0,90,15
317,32.0,128.0,86,3
318,53.0,22.0,53,7
319,66.0,130.0,24,17
320,51.0,108.0,2,10
321,55.0,42.0,42,7
322,52.0,103.0,16,4
323,38.0,101.0,17,16
324,50.0,118.0,93,13
325,55.0,28.0,14,19
326,60.0,132.0,39,7
327,30.0,83.0,64,18
328,,,84,15
329,45.0,21.0,19,11
330,30.0,59.0,56,13
331,48.0,27.0,97,13
332,53.0,107.0,44,12
333,63.0,51.0,94,1
334,,,6,2
335,55.0,68.0,88,16
336,57.0,93.0,50,17
337,26.0,100.0,11,5
338,26.0,134.0,18,12
339,47.0,39.0,53,12
340,32.0,97.0,7,9
341,19.0,43.0,84,10
342,29.0,137.0,31,9
343,34.0,149.0,98,15
344,68.0,104.0,95,18
345,51.0,42.0,78,5
346,38.0,101.0,35,5
347,45.0,82.0,52,4
348,,,63,6
349,,,41,17
350,27.0,55.0,86,3
351,66.0,85.0,97,16
352,28.0,50.0,29,18
353,39.0,38.0,2,10
354,69.0,143.0,55,12
355,40.0,127.0,84,8
356,26.0,26.0,37,18
357,52.0,79.0,94,11
358,31.0,36.0,11,10
359,52.0,85.0,21,17
360,45.0,21.0,47,4
361,39.0,51.0,72,8
362,19.0,139.0,75,8
363,52.0,41.0,88,1
364,28.0,93.0,27,5
365,,,48,9
366,36.0,113.0,13,19
367,54.0,143.0,2,15
368,34.0,64.0,31,9
369,57.0,28.0,8,19
370,30.0,138.0,23,9
371,58.0,106.0,12,2
372,41.0,100.0,74,6
373,33.0,71.0,24,10
374,34.0,28.0,59,4
375,43.0,102.0,50,19
376,,,19,9
377,31.0,142.0,42,16
378,,,88,4
379,66.0,149.0,84,17
380,45.0,144.0,14,2
381,20.0,107.0,42,15
382,64.0,84.0,92,9
383,44.0,102.0,19,14
384,60.0,52.0,8,6
385,,,88,5
386,69.0,36.0,71,18
387,30.0,38.0,69,1
388,45.0,118.0,83,18
389,42.0,131.0,64,3
390,38.0,56.0,90,5
391,27.0,62.0,67,9
392,62.0,100.0,2,4
393,,,98,8
394,61.0,111.0,18,3
395,51.0,123.0,60,6
396,33.0,104.0,47,17
397,52.0,20.0,67,3
398,26.0,111.0,85,9
399,18.0,145.0,81,18
400,25.0,47.0,89,17
401,26.0,22.0,9,13
402,21.0,128.0,85,19
403,48.0,54.0,75,10
404,57.0,24.0,43,15
405,20.0,37.0,12,7
406,54.0,99.0,35,6
407,60.0,99.0,70,16
408,69.0,130.0,27,6
409,36.0,96.0,77,7
410,40.0,82.0,14,17
411,46.0,100.0,94,8
412,59.0,28.0,68,16
413,56.0,59.0,70,10
414,43.0,51.0,75,14
415,60.0,94.0,29,9
416,57.0,60.0,90,4
417,54.0,58.0,47,9
418,66.0,131.0,53,12
419,56.0,69.0,85,12
420,45.0,141.0,30,16
421,38.0,58.0,56,9
422,69.0,106.0,5,3
423,18.0,27.0,76,9
424,67.0,85.0,93,7
425,,,23,10
426,54.0,99.0,52,19
427,67.0,106.0,2,12
428,49.0,115.0,68,8
429,65.0,113.0,20,10
430,55.0,34.0,79,6
431,69.0,119.0,97,15
432,,,39,8
433,53.0,38.0,82,10
434,63.0,69.0,30,2
435,41.0,147.0,100,17
436,36.0,51.0,11,5
437,36.0,116.0,13,14
438,40.0,74.0,73,9
439,54.0,121.0,6,13
440,26.0,123.0,57,18
441,36.0,78.0,63,3
442,58.0,46.0,11,14
443,61.0,52.0,93,5
444,32.0,139.0,29,15
445,23.0,25.0,75,11
446,29.0,27.0,39,9
447,,,1,2
448,68.0,129.0,99,4
449,50.0,80.0,67,13
450,40.0,30.0,43,12
451,37.0,69.0,25,2
452,25.0,65.0,3,2
453,48.0,60.0,43,19
454,29.0,106.0,61,12
455,55.0,80.0,79,6
456,58.0,119.0,38,1
457,47.0,27.0,59,1
458,45.0,112.0,27,10
459,54.0,25.0,50,13
460,57.0,111.0,69,14
461,29.0,42.0,57,5
462,40.0,66.0,21,14
463,25.0,30.0,13,10
464,,,83,7
465,39.0,121.0,17,4
466,21.0,126.0,96,9
467,61.0,27.0,84,5
468,23.0,89.0,9,10
469,50.0,49.0,55,2
470,45.0,81.0,61,13
471,23.0,66.0,30,9
472,36.0,21.0,86,17
473,26.0,84.0,44,13
474,39.0,110.0,96,14
475,42.0,127.0,50,12
476,47.0,41.0,51,15
477,67.0,37.0,39,2
478,42.0,81.0,12,18
479,45.0,104.0,22,15
480,45.0,30.0,98,14
481,42.0,125.0,98,12
482,30.0,107.0,82,3
483,67.0,101.0,63,1
484,52.0,61.0,14,7
485,59.0,130.0,72,3
486,68.0,20.0,9,5
487,20.0,36.0,23,18
488,57.0,58.0,43,7
489,,,45,6
490,24.0,65.0,26,3
491,22.0,103.0,33,6
492,49.0,128.0,17,7
493,27.0,148.0,60,16
494,39.0,84.0,89,11
495,31.0,101.0,79,19
496,54.0,37.0,57,11
497,23.0,110.0,35,5
498,,,13,18
499,41.0,94.0,28,17
500,64.0,140.0,30,15
501,49.0,76.0,39,9
502,43.0,35.0,29,13
503,52.0,69.0,46,11
504,,,4,4
505,36.0,117.0,15,8
506,50.0,83.0,47,16
507,68.0,57.0,55,8
508,66.0,52.0,37,12
509,52.0,146.0,82,3
510,22.0,99.0,84,17
511,56.0,135.0,79,7
512,68.0,131.0,28,10
513,58.0,30.0,33,8
514,69.0,91.0,27,9
515,50.0,60.0,26,1
516,60.0,53.0,68,4
517,56.0,142.0,47,4
518,64.0,128.0,44,2
519,,,53,19
520,24.0,20.0,85,12
521,56.0,39.0,80,16
522,49.0,40.0,81,12
523,42.0,20.0,17,5
524,51.0,99.0,37,18
525,31.0,60.0,79,9
526,64.0,118.0,28,15
527,,,50,6
528,45.0,86.0,100,5
529,27.0,24.0,69,16
530,43.0,87.0,95,17
531,33.0,93.0,82,11
532,32.0,77.0,39,10
533,34.0,20.0,22,8
534,69.0,26.0,67,1
535,32.0,125.0,68,3
536,57.0,137.0,56,1
537,25.0,85.0,15,2
538,45.0,104.0,14,11
539,47.0,114.0,56,3
540,36.0,134.0,8,12
541,38.0,108.0,95,10
542,40.0,129.0,19,1
543,51.0,142.0,24,5
544,25.0,139.0,63,4
545,27.0,118.0,91,18
546,,,72,17
547,37.0,92.0,47,4
548,62.0,45.0,96,17
549,54.0,110.0,68,9
550,,,58,5
551,34.0,92.0,16,19
552,53.0,132.0,33,10
553,56.0,93.0,12,5
554,,,15,7
555,55.0,143.0,6,10
556,,,97,1
557,47.0,110.0,18,13
558,36.0,41.0,97,7
559,50.0,124.0,8,8
560,54.0,97.0,70,5
561,68.0,44.0,62,10
562,23.0,107.0,36,7
563,35.0,104.0,31,2
564,37.0,106.0,75,9
565,69.0,118.0,33,16
566,65.0,106.0,29,16
567,24.0,92.0,78,13
568,30.0,56.0,33,18
569,46.0,59.0,35,14
570,32.0,139.0,3,1
571,21.0,77.0,86,8
572,21.0,75.0,94,2
573,43.0,43.0,21,1
574,26.0,104.0,13,1
575,51.0,68.0,72,5
576,23.0,125.0,94,6
577,23.0,101.0,17,5
578,,,98,17
579,47.0,72.0,97,3
580,,,16,14
581,21.0,118.0,57,2
582,31.0,43.0,10,13
583,52.0,110.0,26,4
584,38.0,32.0,86,10
585,,,27,18
586,39.0,119.0,1,15
587,23.0,122.0,57,1
588,53.0,81.0,23,15
589,,,39,9
590,20.0,56.0,12,14
591,64.0,47.0,71,12
592,43.0,128.0,47,14
593,62.0,72.0,87,8
594,35.0,51.0,77,5
595,32.0,61.0,3,5
596,56.0,35.0,92,1
597,24.0,90.0,84,8
598,64.0,103.0,77,9
599,58.0,78.0,31,11
600,33.0,98.0,68,2
601,22.0,135.0,93,18
602,48.0,64.0,63,13
603,49.0,59.0,39,11
604,32.0,104.0,70,19
605,64.0,75.0,49,6
606,24.0,97.0,57,3
607,60.0,35.0,85,13
608,23.0,97.0,14,18
609,44.0,107.0,83,4
610,62.0,92.0,11,15
611,55.0,117.0,57,12
612,60.0,145.0,56,5
613,52.0,33.0,96,8
614,18.0,71.0,17,2
615,56.0,59.0,16,18
616,65.0,66.0,100,15
617,46.0,41.0,40,11
618,,,83,6
619,41.0,91.0,21,13
620,51.0,23.0,57,17
621,36.0,39.0,57,18
622,33.0,94.0,17,8
623,44.0,115.0,11,14
624,67.0,112.0,23,2
625,41.0,46.0,21,17
626,24.0,136.0,74,19
627,68.0,39.0,85,12
628,47.0,82.0,84,15
629,23.0,22.0,10,18
630,26.0,30.0,80,4
631,63.0,77.0,64,7
632,58.0,38.0,18,11
633,46.0,136.0,77,12
634,25.0,99.0,26,2
635,65.0,99.0,82,12
636,68.0,107.0,6,11
637,63.0,45.0,61,4
638,,,42,19
639,23.0,42.0,40,8
640,50.0,61.0,93,9
641,40.0,123.0,76,7
642,40.0,71.0,48,6
643,45.0,22.0,42,13
644,32.0,122.0,48,6
645,29.0,111.0,17,15
646,64.0,130.0,98,9
647,31.0,122.0,95,10
648,68.0,32.0,55,18
649,68.0,94.0,24,10
650,45.0,46.0,8,4
651,63.0,125.0,27,16
652,56.0,121.0,28,2
653,,,5,8
654,43.0,68.0,71,18
655,35.0,25.0,61,18
656,64.0,32.0,52,8
657,18.0,144.0,8,6
658,51.0,41.0,32,19
659,62.0,68.0,77,8
660,40.0,121.0,50,14
661,35.0,84.0,96,6
662,27.0,96.0,89,15
663,31.0,135.0,23,13
664,,,88,5
665,19.0,140.0,64,18
666,,,86,2
667,32.0,49.0,22,2
668,51.0,109.0,88,14
669,,,50,6
670,29.0,137.0,59,19
671,53.0,106.0,28,7
672,58.0,66.0,71,1
673,22.0,119.0,64,3
674,44.0,72.0,23,18
675,62.0,137.0,14,11
676,23.0,123.0,43,3
677,33.0,74.0,42,6
678,38.0,89.0,44,8
679,37.0,115.0,7,7
680,21.0,140.0,100,7
681,59.0,81.0,60,7
682,51.0,61.0,4,16
683,,,59,2
684,23.0,107.0,51,5
685,68.0,67.0,44,17
686,50.0,33.0,47,15
687,19.0,61.0,67,8
688,42.0,27.0,42,5
689,53.0,141.0,76,8
690,,,43,8
691,65.0,97.0,45,10
692,66.0,132.0,78,15
693,25.0,73.0,97,11
694,39.0,92.0,45,15
695,62.0,109.0,66,7
696,30.0,23.0,9,12
697,,,35,6
698,66.0,128.0,29,9
699,58.0,28.0,95,18
700,65.0,100.0,2,3
701,,,9,10
702,,,79,6
703,59.0,113.0,19,12
704,33.0,30.0,37,7
705,20.0,66.0,27,13
706,63.0,103.0,98,16
707,58.0,80.0,92,14
708,41.0,81.0,12,17
709,51.0,40.0,34,14
710,22.0,28.0,10,5
711,25.0,117.0,76,2
712,57.0,123.0,41,13
713,67.0,130.0,32,15
714,27.0,149.0,18,19
715,64.0,119.0,40,11
716,66.0,130.0,12,19
717,68.0,140.0,57,13
718,24.0,125.0,55,15
719,62.0,127.0,73,10
720,41.0,141.0,20,15
721,51.0,64.0,25,16
722,,,75,17
723,18.0,78.0,45,7
724,50.0,76.0,83,14
725,,,93,14
726,47.0,84.0,66,4
727,,,12,7
728,33.0,61.0,68,11
729,62.0,113.0,88,12
730,63.0,75.0,9,12
731,39.0,128.0,31,1
732,60.0,64.0,94,16
733,23.0,67.0,83,13
734,64.0,95.0,9,3
735,65.0,149.0,34,14
736,25.0,109.0,89,15
737,62.0,97.0,70,10
738,42.0,143.0,4,5
739,48.0,114.0,15,15
740,65.0,106.0,83,7
741,21.0,117.0,70,12
742,46.0,92.0,65,5
743,53.0,78.0,96,3
744,,,10,11
745,,,43,15
746,22.0,20.0,2,1
747,33.0,138.0,2,3
748,38.0,23.0,81,10
749,48.0,114.0,69,16
750,58.0,85.0,3,13
751,37.0,52.0,61,7
752,23.0,27.0,43,17
753,32.0,73.0,87,19
754,24.0,130.0,48,11
755,34.0,96.0,56,19
756,46.0,46.0,88,19
757,18.0,33.0,49,10
758,30.0,98.0,13,12
759,67.0,63.0,100,6
760,18.0,138.0,38,5
761,57.0,36.0,78,1
762,29.0,141.0,2,16
763,48.0,93.0,89,6
764,18.0,95.0,5,17
765,31.0,47.0,11,14
766,67.0,72.0,8,6
767,25.0,38.0,20,4
768,43.0,132.0,68,8
769,57.0,60.0,45,8
770,68.0,92.0,25,14
771,,,62,16
772,69.0,131.0,92,13
773,26.0,83.0,94,18
774,63.0,65.0,20,10
775,42.0,85.0,79,17
776,59.0,82.0,10,15
777,46.0,22.0,62,2
778,,,3,9
779,38.0,115.0,61,19
780,39.0,52.0,88,9
781,56.0,148.0,2,19
782,35.0,36.0,88,3
783,47.0,20.0,92,8
784,28.0,121.0,17,12
785,49.0,114.0,15,19
786,47.0,136.0,22,4
787,,,48,13
788,50.0,64.0,33,8
789,23.0,27.0,82,14
790,57.0,30.0,58,2
791,65.0,130.0,37,4
792,55.0,115.0,16,2
793,,,47,3
794,,,60,13
795,49.0,81.0,26,15
796,,,45,14
797,61.0,56.0,86,7
798,64.0,35.0,89,18
799,21.0,74.0,72,18
800,28.0,26.0,91,4
801,43.0,125.0,25,4
802,52.0,117.0,88,15
803,52.0,24.0,55,17
804,38.0,59.0,89,16
805,37.0,41.0,74,18
806,,,5,19
807,25.0,74.0,79,16
808,53.0,30.0,35,17
809,61.0,96.0,15,11
810,23.0,52.0,8,10
811,29.0,42.0,18,16
812,64.0,25.0,24,19
813,19.0,88.0,19,4
814,48.0,109.0,31,14
815,41.0,34.0,8,19
816,32.0,85.0,74,3
817,28.0,87.0,67,15
818,62.0,121.0,51,7
819,28.0,110.0,99,12
820,,,96,12
821,31.0,20.0,86,9
822,30.0,110.0,60,6
823,56.0,128.0,37,17
824,69.0,79.0,50,2
825,31.0,45.0,34,6
826,50.0,30.0,100,12
827,53.0,47.0,76,15
828,65.0,84.0,12,18
829,21.0,43.0,37,1
830,34.0,118.0,51,2
831,33.0,101.0,37,10
832,26.0,107.0,7,11
833,24.0,129.0,92,8
834,58.0,67.0,88,16
835,26.0,131.0,61,16
836,29.0,119.0,98,5
837,40.0,86.0,43,15
838,48.0,80.0,62,11
839,18.0,77.0,75,6
840,49.0,62.0,62,14
841,39.0,84.0,46,9
842,49.0,137.0,35,14
843,18.0,109.0,2,18
844,51.0,67.0,66,5
845,66.0,41.0,41,2
846,18.0,93.0,46,2
847,68.0,44.0,4,13
848,60.0,57.0,41,3
849,59.0,120.0,90,8
850,58.0,22.0,68,7
851,34.0,147.0,73,3
852,51.0,114.0,68,5
853,52.0,119.0,19,16
854,59.0,126.0,51,6
855,43.0,133.0,77,2
856,,,29,2
857,62.0,94.0,59,4
858,22.0,90.0,48,1
859,,,56,2
860,67.0,76.0,100,10
861,51.0,110.0,53,4
862,67.0,125.0,45,17
863,65.0,133.0,57,7
864,55.0,29.0,97,19
865,30.0,145.0,82,15
866,21.0,127.0,52,1
867,,,62,10
868,42.0,50.0,64,8
869,63.0,31.0,99,1
870,49.0,65.0,9,5
871,28.0,58.0,63,18
872,26.0,52.0,57,6
873,36.0,51.0,30,13
874,21.0,27.0,71,16
875,37.0,47.0,42,4
876,,,97,18
877,60.0,102.0,71,4
878,39.0,115.0,28,6
879,31.0,67.0,75,6
880,,,75,7
881,19.0,62.0,44,19
882,25.0,94.0,2,19
883,27.0,149.0,29,4
884,21.0,72.0,94,3
885,,,71,8
886,20.0,144.0,7,18
887,18.0,60.0,18,17
888,64.0,122.0,23,14
889,,,72,13
890,60.0,142.0,11,10
891,19.0,136.0,1,6
892,65.0,79.0,32,19
893,50.0,111.0,13,4
894,24.0,65.0,41,6
895,47.0,141.0,12,4
896,36.0,42.0,64,2
897,49.0,90.0,17,19
898,36.0,24.0,52,10
899,40.0,148.0,78,8
900,41.0,146.0,39,19
901,67.0,77.0,56,4
902,66.0,118.0,99,8
903,36.0,62.0,99,6
904,,,8,8
905,64.0,59.0,64,17
906,19.0,34.0,9,9
907,27.0,30.0,37,18
908,27.0,99.0,91,19
909,21.0,64.0,25,17
910,49.0,83.0,19,12
911,31.0,110.0,65,7
912,23.0,90.0,85,6
913,30.0,49.0,70,8
914,41.0,62.0,54,9
915,37.0,57.0,23,17
916,66.0,105.0,42,8
917,65.0,52.0,72,9
918,,,99,7
919,38.0,91.0,87,19
920,67.0,148.0,22,7
921,28.0,133.0,7,3
922,,,48,5
923,34.0,58.0,70,16
924,19.0,71.0,15,16
925,52.0,92.0,84,9
926,65.0,112.0,30,7
927,52.0,140.0,7,5
928,,,48,12
929,22.0,23.0,26,4
930,49.0,49.0,27,3
931,59.0,73.0,33,15
932,54.0,145.0,73,15
933,26.0,102.0,49,4
934,30.0,145.0,31,18
935,,,5,12
936,63.0,137.0,84,12
937,36.0,128.0,83,12
938,48.0,34.0,46,5
939,53.0,110.0,57,16
940,66.0,33.0,88,1
941,62.0,147.0,45,18
942,21.0,133.0,26,7
943,55.0,41.0,92,16
944,50.0,72.0,74,3
945,,,32,18
946,43.0,38.0,39,6
947,29.0,117.0,58,5
948,19.0,51.0,25,19
949,58.0,98.0,7,4
950,64.0,119.0,28,17
951,26.0,47.0,71,17
952,35.0,148.0,56,4
953,36.0,88.0,53,7
954,34.0,118.0,66,3
955,35.0,57.0,93,18
956,18.0,90.0,37,16
957,69.0,123.0,36,1
958,65.0,68.0,34,3
959,68.0,71.0,33,13
960,47.0,143.0,93,2
961,,,84,14
962,19.0,136.0,67,15
963,,,5,7
964,49.0,113.0,54,14
965,63.0,113.0,25,10
966,69.0,130.0,94,13
967,38.0,149.0,35,3
968,58.0,35.0,81,14
969,33.0,82.0,11,8
970,,,78,16
971,52.0,142.0,59,15
972,23.0,105.0,1,1
973,56.0,71.0,51,6
974,40.0,34.0,39,14
975,52.0,63.0,89,12
976,,,33,6
977,53.0,50.0,57,16
978,18.0,137.0,91,17
979,20.0,42.0,27,7
980,32.0,123.0,26,15
981,55.0,96.0,32,6
982,20.0,38.0,45,8
983,,,6,2
984,20.0,141.0,85,15
985,22.0,76.0,61,7
986,63.0,23.0,12,8
987,32.0,101.0,50,16
988,32.0,35.0,78,10
989,30.0,147.0,10,9
990,62.0,25.0,14,7
991,29.0,123.0,26,6
992,35.0,98.0,14,3
993,44.0,75.0,36,18
994,62.0,34.0,44,10
995,61.0,87.0,35,12
996,63.0,102.0,12,19
997,55.0,20.0,11,7
998,49.0,102.0,39,5
999,21.0,135.0,15,17
1000,29.0,108.0,30,3
