CustomerID,PurchaseAmount,PurchaseDate
1,44,2023-01-01
2,231,2023-01-02
3,68,2023-01-03
4,177,2023-01-04
5,288,2023-01-05
6,68,2023-01-06
7,316,2023-01-07
8,39,2023-01-08
9,7,2023-01-09
10,188,2023-01-10
11,45,2023-01-11
12,24,2023-01-12
13,42,2023-01-13
14,57,2023-01-14
15,74,2023-01-15
16,40,2023-01-16
17,166,2023-01-17
18,129,2023-01-18
19,93,2023-01-19
20,184,2023-01-20
21,98,2023-01-21
22,19,2023-01-22
23,86,2023-01-23
24,336,2023-01-24
25,132,2023-01-25
26,159,2023-01-26
27,291,2023-01-27
28,129,2023-01-28
29,42,2023-01-29
30,60,2023-01-30
31,225,2023-01-31
32,194,2023-02-01
33,20,2023-02-02
34,228,2023-02-03
35,4,2023-02-04
36,81,2023-02-05
37,93,2023-02-06
38,19,2023-02-07
39,152,2023-02-08
40,20,2023-02-09
41,78,2023-02-10
42,38,2023-02-11
43,36,2023-02-12
44,39,2023-02-13
45,15,2023-02-14
46,8,2023-02-15
47,75,2023-02-16
48,135,2023-02-17
49,228,2023-02-18
50,180,2023-02-19
51,93,2023-02-20
52,20,2023-02-21
53,144,2023-02-22
54,8,2023-02-23
55,87,2023-02-24
56,8,2023-02-25
57,156,2023-02-26
58,102,2023-02-27
59,150,2023-02-28
60,260,2023-03-01
61,55,2023-03-02
62,98,2023-03-03
63,207,2023-03-04
64,98,2023-03-05
65,78,2023-03-06
66,124,2023-03-07
67,92,2023-03-08
68,84,2023-03-09
69,340,2023-03-10
70,123,2023-03-11
71,40,2023-03-12
72,42,2023-03-13
73,28,2023-03-14
74,98,2023-03-15
75,18,2023-03-16
76,54,2023-03-17
77,36,2023-03-18
78,8,2023-03-19
79,78,2023-03-20
80,46,2023-03-21
81,188,2023-03-22
82,42,2023-03-23
83,256,2023-03-24
84,22,2023-03-25
85,42,2023-03-26
86,183,2023-03-27
87,291,2023-03-28
88,142,2023-03-29
89,258,2023-03-30
90,20,2023-03-31
91,70,2023-04-01
92,2,2023-04-02
93,105,2023-04-03
94,144,2023-04-04
95,24,2023-04-05
96,264,2023-04-06
97,69,2023-04-07
98,168,2023-04-08
99,166,2023-04-09
100,54,2023-04-10
101,44,2023-04-11
102,123,2023-04-12
103,194,2023-04-13
104,248,2023-04-14
105,4,2023-04-15
106,87,2023-04-16
107,82,2023-04-17
108,84,2023-04-18
109,201,2023-04-19
110,65,2023-04-20
111,64,2023-04-21
112,48,2023-04-22
113,106,2023-04-23
114,31,2023-04-24
115,308,2023-04-25
116,33,2023-04-26
117,285,2023-04-27
118,95,2023-04-28
119,141,2023-04-29
120,267,2023-04-30
121,128,2023-05-01
122,308,2023-05-02
123,284,2023-05-03
124,90,2023-05-04
125,39,2023-05-05
126,111,2023-05-06
127,11,2023-05-07
128,237,2023-05-08
129,3,2023-05-09
130,102,2023-05-10
131,10,2023-05-11
132,196,2023-05-12
133,84,2023-05-13
134,98,2023-05-14
135,156,2023-05-15
136,80,2023-05-16
137,33,2023-05-17
138,3,2023-05-18
139,36,2023-05-19
140,308,2023-05-20
141,116,2023-05-21
142,15,2023-05-22
143,18,2023-05-23
144,77,2023-05-24
145,64,2023-05-25
146,284,2023-05-26
147,46,2023-05-27
148,30,2023-05-28
149,62,2023-05-29
150,156,2023-05-30
151,38,2023-05-31
152,212,2023-06-01
153,66,2023-06-02
154,172,2023-06-03
155,39,2023-06-04
156,184,2023-06-05
157,87,2023-06-06
158,224,2023-06-07
159,364,2023-06-08
160,174,2023-06-09
161,63,2023-06-10
162,249,2023-06-11
163,94,2023-06-12
164,58,2023-06-13
165,8,2023-06-14
166,89,2023-06-15
167,196,2023-06-16
168,184,2023-06-17
169,165,2023-06-18
170,336,2023-06-19
171,28,2023-06-20
172,150,2023-06-21
173,102,2023-06-22
174,72,2023-06-23
175,142,2023-06-24
176,176,2023-06-25
177,120,2023-06-26
178,176,2023-06-27
179,364,2023-06-28
180,99,2023-06-29
181,228,2023-06-30
182,132,2023-07-01
183,87,2023-07-02
184,141,2023-07-03
185,80,2023-07-04
186,183,2023-07-05
187,348,2023-07-06
188,196,2023-07-07
189,76,2023-07-08
190,74,2023-07-09
191,135,2023-07-10
192,148,2023-07-11
193,44,2023-07-12
194,52,2023-07-13
195,273,2023-07-14
196,3,2023-07-15
197,24,2023-07-16
198,60,2023-07-17
199,83,2023-07-18
200,243,2023-07-19
201,248,2023-07-20
202,168,2023-07-21
203,61,2023-07-22
204,356,2023-07-23
205,8,2023-07-24
206,99,2023-07-25
207,9,2023-07-26
208,85,2023-07-27
209,177,2023-07-28
210,117,2023-07-29
211,30,2023-07-30
212,249,2023-07-31
213,62,2023-08-01
214,94,2023-08-02
215,58,2023-08-03
216,57,2023-08-04
217,112,2023-08-05
218,105,2023-08-06
219,194,2023-08-07
220,10,2023-08-08
221,392,2023-08-09
222,114,2023-08-10
223,24,2023-08-11
224,68,2023-08-12
225,213,2023-08-13
226,75,2023-08-14
227,116,2023-08-15
228,136,2023-08-16
229,156,2023-08-17
230,82,2023-08-18
231,36,2023-08-19
232,180,2023-08-20
233,192,2023-08-21
234,168,2023-08-22
235,52,2023-08-23
236,380,2023-08-24
237,36,2023-08-25
238,142,2023-08-26
239,92,2023-08-27
240,29,2023-08-28
241,156,2023-08-29
242,63,2023-08-30
243,98,2023-08-31
244,192,2023-09-01
245,164,2023-09-02
246,45,2023-09-03
247,61,2023-09-04
248,267,2023-09-05
249,76,2023-09-06
250,192,2023-09-07
251,44,2023-09-08
252,156,2023-09-09
253,39,2023-09-10
254,204,2023-09-11
255,216,2023-09-12
256,30,2023-09-13
257,48,2023-09-14
258,88,2023-09-15
259,288,2023-09-16
260,116,2023-09-17
261,104,2023-09-18
262,34,2023-09-19
263,30,2023-09-20
264,72,2023-09-21
265,368,2023-09-22
266,198,2023-09-23
267,122,2023-09-24
268,63,2023-09-25
269,91,2023-09-26
270,61,2023-09-27
271,336,2023-09-28
272,153,2023-09-29
273,192,2023-09-30
274,252,2023-10-01
275,64,2023-10-02
276,32,2023-10-03
277,20,2023-10-04
278,288,2023-10-05
279,46,2023-10-06
280,201,2023-10-07
281,74,2023-10-08
282,156,2023-10-09
283,76,2023-10-10
284,2,2023-10-11
285,62,2023-10-12
286,160,2023-10-13
287,49,2023-10-14
288,188,2023-10-15
289,32,2023-10-16
290,77,2023-10-17
291,252,2023-10-18
292,296,2023-10-19
293,48,2023-10-20
294,26,2023-10-21
295,40,2023-10-22
296,54,2023-10-23
297,118,2023-10-24
298,61,2023-10-25
299,118,2023-10-26
300,78,2023-10-27
301,80,2023-10-28
302,144,2023-10-29
303,96,2023-10-30
304,46,2023-10-31
305,392,2023-11-01
306,164,2023-11-02
307,195,2023-11-03
308,10,2023-11-04
309,66,2023-11-05
310,74,2023-11-06
311,70,2023-11-07
312,340,2023-11-08
313,45,2023-11-09
314,102,2023-11-10
315,282,2023-11-11
316,22,2023-11-12
317,236,2023-11-13
318,288,2023-11-14
319,24,2023-11-15
320,264,2023-11-16
321,148,2023-11-17
322,184,2023-11-18
323,140,2023-11-19
324,87,2023-11-20
325,91,2023-11-21
326,380,2023-11-22
327,25,2023-11-23
328,45,2023-11-24
329,200,2023-11-25
330,36,2023-11-26
331,272,2023-11-27
332,1,2023-11-28
333,99,2023-11-29
334,246,2023-11-30
335,164,2023-12-01
336,328,2023-12-02
337,12,2023-12-03
338,84,2023-12-04
339,12,2023-12-05
340,156,2023-12-06
341,36,2023-12-07
342,36,2023-12-08
343,198,2023-12-09
344,31,2023-12-10
345,64,2023-12-11
346,15,2023-12-12
347,158,2023-12-13
348,36,2023-12-14
349,141,2023-12-15
350,24,2023-12-16
351,160,2023-12-17
352,292,2023-12-18
353,174,2023-12-19
354,92,2023-12-20
355,37,2023-12-21
356,164,2023-12-22
357,22,2023-12-23
358,18,2023-12-24
359,220,2023-12-25
360,176,2023-12-26
361,232,2023-12-27
362,153,2023-12-28
363,21,2023-12-29
364,132,2023-12-30
365,32,2023-12-31
366,56,2024-01-01
367,99,2024-01-02
368,88,2024-01-03
369,56,2024-01-04
370,166,2024-01-05
371,174,2024-01-06
372,60,2024-01-07
373,297,2024-01-08
374,31,2024-01-09
375,42,2024-01-10
376,33,2024-01-11
377,196,2024-01-12
378,90,2024-01-13
379,100,2024-01-14
380,84,2024-01-15
381,108,2024-01-16
382,60,2024-01-17
383,112,2024-01-18
384,104,2024-01-19
385,14,2024-01-20
386,80,2024-01-21
387,44,2024-01-22
388,47,2024-01-23
389,164,2024-01-24
390,201,2024-01-25
391,30,2024-01-26
392,324,2024-01-27
393,40,2024-01-28
394,340,2024-01-29
395,29,2024-01-30
396,52,2024-01-31
397,30,2024-02-01
398,146,2024-02-02
399,360,2024-02-03
400,116,2024-02-04
401,108,2024-02-05
402,178,2024-02-06
403,39,2024-02-07
404,129,2024-02-08
405,8,2024-02-09
406,7,2024-02-10
407,124,2024-02-11
408,126,2024-02-12
409,6,2024-02-13
410,162,2024-02-14
411,300,2024-02-15
412,39,2024-02-16
413,40,2024-02-17
414,64,2024-02-18
415,114,2024-02-19
416,135,2024-02-20
417,312,2024-02-21
418,54,2024-02-22
419,308,2024-02-23
420,89,2024-02-24
421,192,2024-02-25
422,3,2024-02-26
423,60,2024-02-27
424,276,2024-02-28
425,156,2024-02-29
426,220,2024-03-01
427,111,2024-03-02
428,112,2024-03-03
429,80,2024-03-04
430,81,2024-03-05
431,52,2024-03-06
432,110,2024-03-07
433,380,2024-03-08
434,192,2024-03-09
435,198,2024-03-10
436,154,2024-03-11
437,146,2024-03-12
438,234,2024-03-13
439,68,2024-03-14
440,336,2024-03-15
441,20,2024-03-16
442,2,2024-03-17
443,114,2024-03-18
444,116,2024-03-19
445,192,2024-03-20
446,160,2024-03-21
447,141,2024-03-22
448,336,2024-03-23
449,148,2024-03-24
450,84,2024-03-25
451,38,2024-03-26
452,63,2024-03-27
453,177,2024-03-28
454,3,2024-03-29
455,165,2024-03-30
456,192,2024-03-31
457,27,2024-04-01
458,26,2024-04-02
459,142,2024-04-03
460,112,2024-04-04
461,108,2024-04-05
462,12,2024-04-06
463,84,2024-04-07
464,40,2024-04-08
465,192,2024-04-09
466,123,2024-04-10
467,48,2024-04-11
468,248,2024-04-12
469,312,2024-04-13
470,198,2024-04-14
471,17,2024-04-15
472,12,2024-04-16
473,118,2024-04-17
474,9,2024-04-18
475,195,2024-04-19
476,56,2024-04-20
477,308,2024-04-21
478,54,2024-04-22
479,124,2024-04-23
480,384,2024-04-24
481,26,2024-04-25
482,87,2024-04-26
483,78,2024-04-27
484,150,2024-04-28
485,186,2024-04-29
486,16,2024-04-30
487,168,2024-05-01
488,83,2024-05-02
489,27,2024-05-03
490,108,2024-05-04
491,240,2024-05-05
492,19,2024-05-06
493,142,2024-05-07
494,135,2024-05-08
495,48,2024-05-09
496,60,2024-05-10
497,138,2024-05-11
498,201,2024-05-12
499,105,2024-05-13
500,200,2024-05-14
501,96,2024-05-15
502,156,2024-05-16
503,192,2024-05-17
504,138,2024-05-18
505,324,2024-05-19
506,6,2024-05-20
507,117,2024-05-21
508,296,2024-05-22
509,352,2024-05-23
510,75,2024-05-24
511,32,2024-05-25
512,4,2024-05-26
513,216,2024-05-27
514,320,2024-05-28
515,332,2024-05-29
516,87,2024-05-30
517,364,2024-05-31
518,40,2024-06-01
519,88,2024-06-02
520,37,2024-06-03
521,46,2024-06-04
522,144,2024-06-05
523,120,2024-06-06
524,61,2024-06-07
525,18,2024-06-08
526,80,2024-06-09
527,195,2024-06-10
528,132,2024-06-11
529,35,2024-06-12
530,288,2024-06-13
531,86,2024-06-14
532,99,2024-06-15
533,164,2024-06-16
534,56,2024-06-17
535,284,2024-06-18
536,189,2024-06-19
537,27,2024-06-20
538,70,2024-06-21
539,20,2024-06-22
540,28,2024-06-23
541,15,2024-06-24
542,66,2024-06-25
543,194,2024-06-26
544,344,2024-06-27
545,372,2024-06-28
546,128,2024-06-29
547,260,2024-06-30
548,216,2024-07-01
549,188,2024-07-02
550,51,2024-07-03
551,56,2024-07-04
552,64,2024-07-05
553,69,2024-07-06
554,78,2024-07-07
555,78,2024-07-08
556,255,2024-07-09
557,70,2024-07-10
558,75,2024-07-11
559,122,2024-07-12
560,168,2024-07-13
561,192,2024-07-14
562,21,2024-07-15
563,288,2024-07-16
564,130,2024-07-17
565,51,2024-07-18
566,59,2024-07-19
567,36,2024-07-20
568,117,2024-07-21
569,40,2024-07-22
570,99,2024-07-23
571,376,2024-07-24
572,53,2024-07-25
573,194,2024-07-26
574,116,2024-07-27
575,68,2024-07-28
576,92,2024-07-29
577,15,2024-07-30
578,2,2024-07-31
579,176,2024-08-01
580,236,2024-08-02
581,72,2024-08-03
582,171,2024-08-04
583,222,2024-08-05
584,132,2024-08-06
585,52,2024-08-07
586,148,2024-08-08
587,122,2024-08-09
588,88,2024-08-10
589,132,2024-08-11
590,248,2024-08-12
591,39,2024-08-13
592,26,2024-08-14
593,135,2024-08-15
594,24,2024-08-16
595,70,2024-08-17
596,78,2024-08-18
597,51,2024-08-19
598,153,2024-08-20
599,204,2024-08-21
600,61,2024-08-22
601,158,2024-08-23
602,376,2024-08-24
603,212,2024-08-25
604,76,2024-08-26
605,198,2024-08-27
606,117,2024-08-28
607,8,2024-08-29
608,73,2024-08-30
609,110,2024-08-31
610,7,2024-09-01
611,45,2024-09-02
612,2,2024-09-03
613,25,2024-09-04
614,32,2024-09-05
615,156,2024-09-06
616,144,2024-09-07
617,59,2024-09-08
618,8,2024-09-09
619,6,2024-09-10
620,38,2024-09-11
621,213,2024-09-12
622,60,2024-09-13
623,28,2024-09-14
624,114,2024-09-15
625,22,2024-09-16
626,24,2024-09-17
627,114,2024-09-18
628,12,2024-09-19
629,117,2024-09-20
630,22,2024-09-21
631,304,2024-09-22
632,207,2024-09-23
633,29,2024-09-24
634,237,2024-09-25
635,249,2024-09-26
636,59,2024-09-27
637,165,2024-09-28
638,32,2024-09-29
639,21,2024-09-30
640,89,2024-10-01
641,60,2024-10-02
642,96,2024-10-03
643,162,2024-10-04
644,3,2024-10-05
645,60,2024-10-06
646,76,2024-10-07
647,141,2024-10-08
648,64,2024-10-09
649,234,2024-10-10
650,24,2024-10-11
651,105,2024-10-12
652,50,2024-10-13
653,88,2024-10-14
654,95,2024-10-15
655,212,2024-10-16
656,160,2024-10-17
657,60,2024-10-18
658,58,2024-10-19
659,8,2024-10-20
660,94,2024-10-21
661,100,2024-10-22
662,156,2024-10-23
663,44,2024-10-24
664,336,2024-10-25
665,6,2024-10-26
666,2,2024-10-27
667,156,2024-10-28
668,26,2024-10-29
669,392,2024-10-30
670,76,2024-10-31
671,156,2024-11-01
672,352,2024-11-02
673,61,2024-11-03
674,11,2024-11-04
675,153,2024-11-05
676,34,2024-11-06
677,336,2024-11-07
678,154,2024-11-08
679,236,2024-11-09
680,200,2024-11-10
681,90,2024-11-11
682,30,2024-11-12
683,76,2024-11-13
684,29,2024-11-14
685,90,2024-11-15
686,192,2024-11-16
687,52,2024-11-17
688,84,2024-11-18
689,176,2024-11-19
690,152,2024-11-20
691,35,2024-11-21
692,61,2024-11-22
693,57,2024-11-23
694,228,2024-11-24
695,7,2024-11-25
696,90,2024-11-26
697,178,2024-11-27
698,64,2024-11-28
699,288,2024-11-29
700,64,2024-11-30
701,39,2024-12-01
702,174,2024-12-02
703,261,2024-12-03
704,128,2024-12-04
705,32,2024-12-05
706,236,2024-12-06
707,188,2024-12-07
708,14,2024-12-08
709,152,2024-12-09
710,60,2024-12-10
711,48,2024-12-11
712,240,2024-12-12
713,81,2024-12-13
714,183,2024-12-14
715,294,2024-12-15
716,106,2024-12-16
717,81,2024-12-17
718,198,2024-12-18
719,336,2024-12-19
720,171,2024-12-20
721,56,2024-12-21
722,57,2024-12-22
723,174,2024-12-23
724,100,2024-12-24
725,132,2024-12-25
726,48,2024-12-26
727,52,2024-12-27
728,13,2024-12-28
729,312,2024-12-29
730,70,2024-12-30
731,141,2024-12-31
732,12,2025-01-01
733,24,2025-01-02
734,249,2025-01-03
735,100,2025-01-04
736,76,2025-01-05
737,232,2025-01-06
738,84,2025-01-07
739,92,2025-01-08
740,111,2025-01-09
741,186,2025-01-10
742,16,2025-01-11
743,392,2025-01-12
744,52,2025-01-13
745,10,2025-01-14
746,159,2025-01-15
747,104,2025-01-16
748,228,2025-01-17
749,68,2025-01-18
750,92,2025-01-19
751,4,2025-01-20
752,49,2025-01-21
753,2,2025-01-22
754,176,2025-01-23
755,128,2025-01-24
756,82,2025-01-25
757,45,2025-01-26
758,59,2025-01-27
759,196,2025-01-28
760,28,2025-01-29
761,240,2025-01-30
762,255,2025-01-31
763,237,2025-02-01
764,72,2025-02-02
765,36,2025-02-03
766,27,2025-02-04
767,244,2025-02-05
768,285,2025-02-06
769,80,2025-02-07
770,75,2025-02-08
771,56,2025-02-09
772,83,2025-02-10
773,67,2025-02-11
774,336,2025-02-12
775,81,2025-02-13
776,138,2025-02-14
777,92,2025-02-15
778,66,2025-02-16
779,66,2025-02-17
780,54,2025-02-18
781,220,2025-02-19
782,23,2025-02-20
783,140,2025-02-21
784,43,2025-02-22
785,234,2025-02-23
786,220,2025-02-24
787,64,2025-02-25
788,126,2025-02-26
789,279,2025-02-27
790,216,2025-02-28
791,328,2025-03-01
792,112,2025-03-02
793,258,2025-03-03
794,276,2025-03-04
795,42,2025-03-05
796,92,2025-03-06
797,248,2025-03-07
798,90,2025-03-08
799,231,2025-03-09
800,261,2025-03-10
801,368,2025-03-11
802,260,2025-03-12
803,240,2025-03-13
804,152,2025-03-14
805,120,2025-03-15
806,62,2025-03-16
807,35,2025-03-17
808,376,2025-03-18
809,3,2025-03-19
810,150,2025-03-20
811,276,2025-03-21
812,243,2025-03-22
813,83,2025-03-23
814,36,2025-03-24
815,118,2025-03-25
816,180,2025-03-26
817,128,2025-03-27
818,140,2025-03-28
819,164,2025-03-29
820,68,2025-03-30
821,212,2025-03-31
822,268,2025-04-01
823,56,2025-04-02
824,172,2025-04-03
825,36,2025-04-04
826,120,2025-04-05
827,231,2025-04-06
828,165,2025-04-07
829,9,2025-04-08
830,93,2025-04-09
831,104,2025-04-10
832,94,2025-04-11
833,280,2025-04-12
834,81,2025-04-13
835,116,2025-04-14
836,172,2025-04-15
837,18,2025-04-16
838,44,2025-04-17
839,216,2025-04-18
840,150,2025-04-19
841,228,2025-04-20
842,68,2025-04-21
843,32,2025-04-22
844,93,2025-04-23
845,180,2025-04-24
846,332,2025-04-25
847,70,2025-04-26
848,270,2025-04-27
849,396,2025-04-28
850,96,2025-04-29
851,108,2025-04-30
852,106,2025-05-01
853,90,2025-05-02
854,236,2025-05-03
855,142,2025-05-04
856,60,2025-05-05
857,256,2025-05-06
858,98,2025-05-07
859,29,2025-05-08
860,24,2025-05-09
861,380,2025-05-10
862,83,2025-05-11
863,153,2025-05-12
864,372,2025-05-13
865,138,2025-05-14
866,54,2025-05-15
867,24,2025-05-16
868,24,2025-05-17
869,28,2025-05-18
870,180,2025-05-19
871,28,2025-05-20
872,10,2025-05-21
873,28,2025-05-22
874,162,2025-05-23
875,22,2025-05-24
876,232,2025-05-25
877,18,2025-05-26
878,184,2025-05-27
879,116,2025-05-28
880,285,2025-05-29
881,14,2025-05-30
882,14,2025-05-31
883,135,2025-06-01
884,70,2025-06-02
885,174,2025-06-03
886,26,2025-06-04
887,25,2025-06-05
888,176,2025-06-06
889,160,2025-06-07
890,288,2025-06-08
891,236,2025-06-09
892,168,2025-06-10
893,38,2025-06-11
894,16,2025-06-12
895,196,2025-06-13
896,188,2025-06-14
897,52,2025-06-15
898,58,2025-06-16
899,74,2025-06-17
900,72,2025-06-18
901,15,2025-06-19
902,93,2025-06-20
903,152,2025-06-21
904,252,2025-06-22
905,198,2025-06-23
906,261,2025-06-24
907,26,2025-06-25
908,12,2025-06-26
909,267,2025-06-27
910,176,2025-06-28
911,61,2025-06-29
912,15,2025-06-30
913,79,2025-07-01
914,3,2025-07-02
915,184,2025-07-03
916,164,2025-07-04
917,93,2025-07-05
918,34,2025-07-06
919,201,2025-07-07
920,27,2025-07-08
921,160,2025-07-09
922,58,2025-07-10
923,201,2025-07-11
924,192,2025-07-12
925,88,2025-07-13
926,44,2025-07-14
927,148,2025-07-15
928,62,2025-07-16
929,134,2025-07-17
930,37,2025-07-18
931,124,2025-07-19
932,136,2025-07-20
933,138,2025-07-21
934,15,2025-07-22
935,45,2025-07-23
936,32,2025-07-24
937,134,2025-07-25
938,207,2025-07-26
939,60,2025-07-27
940,84,2025-07-28
941,24,2025-07-29
942,54,2025-07-30
943,258,2025-07-31
944,60,2025-08-01
945,72,2025-08-02
946,332,2025-08-03
947,18,2025-08-04
948,58,2025-08-05
949,153,2025-08-06
950,64,2025-08-07
951,29,2025-08-08
952,213,2025-08-09
953,166,2025-08-10
954,168,2025-08-11
955,64,2025-08-12
956,132,2025-08-13
957,19,2025-08-14
958,102,2025-08-15
959,67,2025-08-16
960,123,2025-08-17
961,190,2025-08-18
962,159,2025-08-19
963,252,2025-08-20
964,84,2025-08-21
965,284,2025-08-22
966,32,2025-08-23
967,72,2025-08-24
968,112,2025-08-25
969,22,2025-08-26
970,332,2025-08-27
971,174,2025-08-28
972,4,2025-08-29
973,65,2025-08-30
974,177,2025-08-31
975,372,2025-09-01
976,184,2025-09-02
977,58,2025-09-03
978,114,2025-09-04
979,294,2025-09-05
980,70,2025-09-06
981,20,2025-09-07
982,153,2025-09-08
983,60,2025-09-09
984,60,2025-09-10
985,60,2025-09-11
986,268,2025-09-12
987,1,2025-09-13
988,4,2025-09-14
989,232,2025-09-15
990,213,2025-09-16
991,252,2025-09-17
992,178,2025-09-18
993,26,2025-09-19
994,152,2025-09-20
995,41,2025-09-21
996,180,2025-09-22
997,228,2025-09-23
998,53,2025-09-24
999,6,2025-09-25
1000,36,2025-09-26
